date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:44	564121/564121	---MCZ	200	added ('OK')	text/html	etag:W/%229dfa950544fe403f9cf5c1c43ccf9b51%22	https://thecoffeehouse.com/	D:/Httrack/Demo1/thecoffeehouse.com/index.html	(from )
21:16:44	311/311	---MCZ	200	added ('OK')	text/plain	date:Sun,%2019%20Mar%202023%2014:16:46%20GMT	https://thecoffeehouse.com/robots.txt		(from )
21:16:46	1131/1131	---M--	200	added ('OK')	image/png	etag:%22ea079a2c21e5b68118372aa9c70796fe%22	http://theme.hstatic.net/1000075078/1000989727/14/favicon.png?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/favicon9c55.png	(from https://thecoffeehouse.com/)
21:16:48	243200/243200	---MCZ	200	added ('OK')	text/css	etag:W/%221c5f1740f71d5da055bbbd9928e4e9cd%22	http://theme.hstatic.net/1000075078/1000989727/14/tch.min.css?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/tch.min9c55.css	(from https://thecoffeehouse.com/)
21:16:49	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2019%20Mar%202023%2014:16:51%20GMT	https://www.googletagmanager.com/gtm.js?id=	D:/Httrack/Demo1/www.googletagmanager.com/gtm.45445.delayed	(from https://thecoffeehouse.com/)
21:16:50	267742/267742	---MCZ	200	added ('OK')	text/css	etag:W/%226c7c47191653e72f6040e69fd4c28261%22	http://theme.hstatic.net/1000075078/1000989727/14/styles.css?v=49	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000989727/14/styles9c55.css	(from https://thecoffeehouse.com/)
21:16:51	109540/109540	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2019%20Mar%202023%2014:16:52%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Httrack/Demo1/connect.facebook.net/en_US/fbevents.js	(from https://thecoffeehouse.com/)
21:16:53	32705/32705	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d945a090c45241%22	https://stats.hstatic.net/beacon.min.js	D:/Httrack/Demo1/stats.hstatic.net/beacon.min.js	(from https://thecoffeehouse.com/)
21:16:56	13789/13789	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c6e8ef07afc52abc29d6248bf7c21d5%22	https://theme.hstatic.net/1000075078/1000927319/14/checkout_script.js?v=	D:/Httrack/Demo1/theme.hstatic.net/1000075078/1000927319/14/checkout_scriptec92.js	(from https://thecoffeehouse.com/)
21:16:56	50234/50234	---MC-	200	added ('OK')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	D:/Httrack/Demo1/www.google-analytics.com/analytics.js	(from https://thecoffeehouse.com/)
21:16:58	68/68	---MCZ	302	error ('Found')	text/plain	date:Sun,%2019%20Mar%202023%2014:17:00%20GMT	https://unpkg.com/react-dom@17/umd/react-dom.development.js	D:/Httrack/Demo1/unpkg.com/react-dom@17/umd/react-dom.development.a.delayed	(from https://thecoffeehouse.com/)
21:16:59	105096/105096	---M-Z	200	added ('OK')	application/javascript	etag:%226059360d-19a88%22	https://cdnjs.cloudflare.com/ajax/libs/react/17.0.2/umd/react.development.js	D:/Httrack/Demo1/cdnjs.cloudflare.com/ajax/libs/react/17.0.2/umd/react.development.js	(from https://thecoffeehouse.com/)
21:17:04	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%22808705b151d51:0%22	https://ajax.aspnetcdn.com/ajax/jQuery/jquery-3.4.1.min.js	D:/Httrack/Demo1/ajax.aspnetcdn.com/ajax/jQuery/jquery-3.4.1.min.js	(from https://thecoffeehouse.com/)
21:17:35	420/420	---M--	200	added ('OK')	image/png	etag:%226ff402177857affc1e3cbc231cda4933%22	https://file.hstatic.net/1000075078/file/vector_706a88566eab4f009bed6eea93cd890b.png	D:/Httrack/Demo1/file.hstatic.net/1000075078/file/vector_706a88566eab4f009bed6eea93cd890b.png	(from https://thecoffeehouse.com/)
21:17:40	791236/791236	---MCZ	200	added ('OK')	application/javascript	etag:%22c12c4-ThTJ4pzCBas4tpOaoNlcmxq256I%22	https://unpkg.com/babel-standalone@6.26.0/babel.min.js	D:/Httrack/Demo1/unpkg.com/babel-standalone@6.26.0/babel.min.js	(from https://thecoffeehouse.com/)
21:17:40	940093/940093	---MCZ	200	added ('OK')	application/javascript	etag:%22e583d-44V8vCIQ0txOYaenWQQhKwnDgoM%22	https://unpkg.com/react-dom@17.0.2/umd/react-dom.development.js	D:/Httrack/Demo1/unpkg.com/react-dom@17.0.2/umd/react-dom.development.js	(from https://thecoffeehouse.com/)
